traffic_id,hour,day_of_week,zone_type,traffic_level,avg_speed_kmph
TRF044377,11,2,,low,55.4
TRF045968,12,2,industrial,low,50.5
TRF076594,0,5,,medium,31.1
TRF033208,15,4,commercial,medium,38.7
TRF029796,23,1,residential,low,73.2
TRF061047,21,,industrial,low,67.6
TRF005460,14,5,industrial,high,19.9
TRF000051,10,1,,high,15.7
TRF004790,16,3,,low,47.4
TRF069089,13,4,commercial,,53.4
TRF073210,15,0,,high,17.6
TRF008828,7,6,commercial,medium,48.4
TRF088630,3,3,,low,55.1
TRF072863,10,0,industrial,medium,54.8
TRF051579,3,6,residential,low,62.4
TRF048679,16,5,,medium,40.3
TRF068616,0,,,medium,39.9
TRF022734,11,1,industrial,medium,25.8
TRF034917,14,0,residential,high,11.7
TRF060097,23,1,commercial,low,62.5
TRF087030,23,1,,low,66.5
TRF058569,21,0,,low,69.1
TRF038888,1,3,commercial,low,52.0
TRF029999,13,2,residential,medium,42.8
TRF085729,1,4,residential,medium,52.2
TRF045442,10,6,residential,medium,44.3
TRF045899,2,2,commercial,low,79.0
TRF084146,0,4,,low,54.3
TRF009784,19,5,residential,low,62.9
TRF019132,19,6,,high,25.0
TRF004882,12,3,,,67.3
TRF028067,4,5,commercial,low,54.2
TRF045008,11,1,,medium,39.6
TRF046348,8,1,,high,25.7
TRF057090,17,6,industrial,high,25.7
TRF055523,22,6,commercial,low,59.1
TRF037866,22,4,,medium,38.4
TRF056866,18,3,industrial,high,18.3
TRF028936,3,5,industrial,low,56.3
TRF052844,6,1,commercial,low,68.7
TRF047530,14,2,commercial,medium,36.8
TRF018374,18,4,residential,high,28.7
TRF083250,9,0,,low,66.3
TRF028661,21,4,industrial,low,65.6
TRF064629,11,4,residential,medium,28.3
TRF006677,22,6,industrial,high,21.7
TRF028386,22,5,industrial,low,52.1
TRF069978,5,2,commercial,medium,25.0
TRF062041,8,2,,high,10.1
TRF016601,10,4,industrial,medium,37.1
TRF090989,11,4,commercial,low,47.8
TRF035355,4,1,,low,71.3
TRF060186,21,4,commercial,low,48.0
TRF026948,5,0,industrial,low,78.8
TRF084001,2,,commercial,low,54.5
TRF064545,8,2,industrial,high,22.3
TRF015488,16,3,residential,medium,45.7
TRF007922,1,5,industrial,low,55.3
TRF027544,11,0,,,70.5
TRF010606,0,3,industrial,low,76.8
TRF061093,15,4,commercial,high,11.7
TRF066403,2,5,commercial,low,47.9
TRF075039,18,2,commercial,high,28.6
TRF064282,14,3,residential,medium,49.5
TRF079470,17,1,residential,high,12.0
TRF043368,16,0,commercial,medium,39.3
TRF049592,20,4,commercial,low,69.6
TRF062078,23,4,industrial,medium,50.4
TRF059360,18,1,industrial,medium,26.8
TRF038904,16,,commercial,medium,28.9
TRF088254,8,0,,low,47.9
TRF012079,1,5,industrial,low,68.2
TRF091086,17,6,commercial,high,10.3
TRF028312,11,5,industrial,medium,44.0
TRF014172,6,2,residential,high,21.4
TRF093869,8,0,industrial,high,21.9
TRF055071,,4,commercial,high,19.4
TRF077077,11,0,,medium,53.1
TRF066387,12,6,industrial,low,66.7
TRF014399,12,0,industrial,medium,47.2
TRF037495,2,5,residential,low,50.1
TRF003040,7,3,residential,high,21.5
TRF082801,1,6,industrial,low,66.2
TRF076988,13,0,residential,,57.9
TRF011786,21,1,residential,low,55.9
TRF018015,10,3,,medium,35.9
TRF072363,8,4,,low,52.4
TRF078365,5,,industrial,high,15.1
TRF040288,23,3,commercial,low,55.6
TRF039843,,6,residential,high,26.1
TRF070563,12,1,commercial,medium,48.0
TRF045449,17,,industrial,medium,48.8
TRF014490,23,2,commercial,low,62.7
TRF057135,5,2,commercial,low,58.6
TRF042893,22,6,,low,78.4
TRF023299,9,4,residential,high,27.6
TRF088875,14,5,industrial,low,
TRF087407,12,1,residential,medium,47.2
TRF025581,21,5,commercial,low,65.3
TRF087541,13,3,residential,medium,34.3
TRF084344,5,1,residential,low,55.5
TRF005259,11,5,residential,low,80.0
TRF035198,4,0,residential,high,27.5
TRF030332,11,6,,low,48.4
TRF050032,4,2,commercial,low,79.0
TRF024166,9,0,industrial,high,25.6
TRF053461,14,5,industrial,medium,28.8
TRF063222,21,2,industrial,medium,
TRF012981,3,4,commercial,low,67.3
TRF039475,17,2,residential,high,18.8
TRF038054,7,6,commercial,medium,37.1
TRF009010,9,4,industrial,low,78.7
TRF050065,4,6,,medium,54.7
TRF012861,13,0,industrial,medium,37.1
TRF066481,17,0,commercial,high,25.3
TRF085508,20,4,residential,medium,30.4
TRF029398,12,0,industrial,low,59.3
TRF087081,2,4,,high,29.5
TRF036002,22,0,commercial,low,70.2
TRF089694,21,0,commercial,low,50.1
TRF046956,8,0,commercial,high,27.5
TRF041636,12,5,industrial,medium,50.7
TRF059860,2,5,,low,45.9
TRF088520,21,1,residential,low,46.4
TRF068498,18,0,,high,18.1
TRF026495,4,5,industrial,low,64.7
TRF076410,1,0,commercial,low,58.8
TRF024912,20,3,residential,medium,28.8
TRF058220,7,6,industrial,high,10.5
TRF007248,9,3,commercial,high,11.0
TRF075858,0,6,industrial,medium,53.2
TRF063115,23,5,residential,low,79.6
TRF085126,11,5,industrial,medium,45.4
TRF079702,7,0,industrial,high,23.5
TRF092527,17,4,residential,high,20.0
TRF038065,0,2,,low,66.8
TRF060022,2,2,,low,68.3
TRF020502,16,5,commercial,high,10.3
TRF093676,4,5,,high,20.6
TRF011392,15,4,residential,high,10.4
TRF069832,4,5,industrial,low,51.5
TRF095293,10,5,commercial,medium,26.1
TRF030301,6,5,residential,high,26.1
TRF029473,17,1,residential,high,21.7
TRF077098,19,0,,high,22.9
TRF000718,18,0,industrial,high,27.1
TRF068835,1,5,industrial,medium,52.5
TRF095653,0,1,commercial,medium,54.5
TRF026841,8,1,commercial,high,17.7
TRF044355,,0,industrial,medium,40.9
TRF020784,8,6,,high,16.5
TRF020811,0,0,industrial,low,68.8
TRF026646,4,4,residential,medium,30.5
TRF040115,17,6,industrial,high,28.6
TRF003116,7,1,,low,76.6
TRF015136,12,2,commercial,,62.6
TRF032476,7,0,commercial,low,69.6
TRF020272,4,4,commercial,low,56.6
TRF019262,6,1,commercial,low,70.4
TRF081606,0,1,commercial,low,73.6
TRF064376,10,4,commercial,medium,36.8
TRF025531,19,3,commercial,medium,51.4
TRF094926,1,0,industrial,low,63.2
TRF085971,22,3,residential,low,46.4
TRF067431,0,5,commercial,low,69.9
TRF055258,20,4,commercial,,72.1
TRF028890,20,0,industrial,low,68.1
TRF022491,18,6,residential,high,
TRF006041,16,3,industrial,medium,54.6
TRF050274,8,2,,high,23.9
TRF046447,10,0,,medium,43.2
TRF093077,,3,,low,54.3
TRF058061,14,2,residential,low,46.1
TRF056991,18,3,industrial,medium,45.9
TRF003076,10,3,commercial,medium,35.3
TRF087300,3,1,industrial,low,53.7
TRF031771,7,6,commercial,low,46.8
TRF069605,21,2,industrial,low,64.7
TRF090281,,6,commercial,,70.2
TRF044357,14,0,residential,medium,35.0
TRF042430,16,5,,low,66.4
TRF053694,2,0,industrial,low,62.3
TRF050954,15,,industrial,medium,38.2
TRF059207,16,5,industrial,medium,54.9
TRF021590,2,0,residential,low,69.6
TRF069212,7,3,,high,28.7
TRF029241,15,2,residential,high,29.9
TRF030880,0,5,industrial,low,68.6
TRF065348,12,4,industrial,low,47.3
TRF013231,3,3,industrial,low,61.9
TRF020147,20,0,commercial,low,47.5
TRF008271,8,0,,high,13.8
TRF022862,2,0,commercial,low,53.7
TRF034194,3,0,,low,74.1
TRF051917,18,6,,high,12.6
TRF074214,4,2,,low,63.9
TRF093291,10,6,commercial,low,67.3
TRF061583,18,3,,high,20.2
TRF049764,12,6,industrial,low,57.0
TRF087123,10,1,residential,high,25.0
TRF030009,,3,,low,60.1
TRF042075,8,4,industrial,medium,41.2
TRF017534,11,0,residential,low,64.6
TRF016063,7,5,industrial,medium,
TRF087801,5,4,commercial,low,49.9
TRF068792,8,3,residential,,56.9
TRF069877,4,2,residential,low,76.1
TRF012469,,4,industrial,high,16.3
TRF053335,13,0,residential,medium,43.8
TRF032070,2,4,commercial,medium,53.5
TRF083630,11,4,commercial,low,54.2
TRF038387,23,5,residential,medium,
TRF032279,8,4,,high,28.0
TRF047119,3,5,,low,79.5
TRF018271,10,0,residential,high,19.8
TRF019175,2,5,industrial,low,69.0
TRF003862,4,0,,medium,49.2
TRF089326,2,3,residential,low,71.6
TRF013074,6,0,residential,,45.2
TRF072426,,5,residential,high,28.3
TRF083620,1,0,commercial,low,46.0
TRF092582,8,5,commercial,high,20.4
TRF031140,15,3,,high,11.7
TRF047117,1,4,,low,76.9
TRF009452,1,5,,low,79.7
TRF011049,3,2,commercial,medium,39.2
TRF031696,12,5,residential,,76.9
TRF057419,13,1,commercial,medium,39.2
TRF056510,10,3,,high,18.4
TRF009795,9,0,residential,,53.4
TRF080742,20,5,commercial,medium,46.7
TRF080450,,0,,high,12.8
TRF011991,12,1,commercial,medium,39.6
TRF016905,,2,residential,high,26.5
TRF095821,21,,industrial,low,55.8
TRF092372,18,2,,low,75.2
TRF079113,11,4,commercial,medium,46.7
TRF018242,14,2,industrial,medium,54.5
TRF006597,14,5,industrial,high,20.8
TRF000758,19,2,industrial,high,
TRF084028,20,4,industrial,medium,40.7
TRF063851,15,2,commercial,high,26.0
TRF038714,11,5,industrial,low,46.5
TRF070479,20,5,industrial,low,79.6
TRF060464,10,1,,low,65.4
TRF093646,8,6,residential,high,17.1
TRF087907,16,2,,medium,31.3
TRF043167,23,,industrial,,70.9
TRF081037,3,0,,low,76.3
TRF040797,14,4,,high,21.1
TRF032107,1,5,residential,low,73.8
TRF093635,5,5,residential,low,73.0
TRF031320,13,0,industrial,medium,
TRF043701,15,4,residential,medium,48.5
TRF029277,22,0,,low,49.4
TRF042555,14,4,commercial,low,79.4
TRF030135,9,0,residential,medium,51.8
TRF050683,23,4,industrial,medium,28.8
TRF010504,7,5,,high,19.1
TRF077874,0,0,residential,low,75.3
TRF037472,17,2,residential,high,19.1
TRF015926,3,4,industrial,low,69.8
TRF065881,16,0,commercial,medium,37.3
TRF041207,9,3,,high,29.9
TRF022322,10,2,industrial,medium,45.4
TRF083973,1,5,industrial,medium,50.9
TRF046807,17,5,,high,
TRF054606,7,5,residential,high,25.3
TRF095837,19,4,commercial,high,24.7
TRF041740,10,0,,medium,28.6
TRF033285,23,0,,low,72.5
TRF068422,11,6,commercial,medium,38.8
TRF057392,10,3,residential,medium,44.8
TRF015050,12,0,,low,49.7
TRF042802,,0,residential,medium,31.5
TRF040072,14,2,industrial,high,26.1
TRF000723,1,0,industrial,low,78.6
TRF047095,20,2,industrial,low,57.7
TRF062890,5,2,residential,low,55.3
TRF030380,17,4,residential,medium,49.3
TRF003300,5,6,residential,low,64.7
TRF038618,8,0,,medium,47.0
TRF002614,11,6,commercial,low,54.2
TRF054297,14,0,,medium,48.5
TRF018880,0,6,industrial,low,47.7
TRF041393,15,1,residential,,62.9
TRF010786,1,,residential,low,69.3
TRF013958,13,5,industrial,low,77.6
TRF019385,9,2,industrial,high,21.1
TRF079096,7,6,commercial,high,21.1
TRF044791,19,2,industrial,high,19.9
TRF019368,21,6,industrial,medium,43.5
TRF031416,23,5,,low,72.5
TRF020172,13,6,,high,25.8
TRF087531,1,3,commercial,low,57.9
TRF051772,14,5,industrial,medium,27.9
TRF049591,0,1,industrial,low,62.4
TRF079709,6,4,residential,,52.3
TRF022809,8,2,commercial,low,76.2
TRF091559,17,0,,medium,25.7
TRF057174,2,1,commercial,low,46.2
TRF040281,18,1,industrial,high,20.1
TRF024935,17,5,commercial,,63.3
TRF040254,4,2,,low,67.8
TRF041477,18,5,,medium,36.8
TRF000623,,4,industrial,medium,46.7
TRF005227,16,1,residential,low,52.6
TRF049319,11,0,,medium,31.9
TRF063700,2,5,,low,49.8
TRF079335,10,3,industrial,medium,28.2
TRF084066,8,5,commercial,high,15.1
TRF001677,5,3,residential,low,54.4
TRF039414,20,1,,high,21.9
TRF026366,10,0,,medium,30.5
TRF058737,17,0,industrial,high,24.3
TRF024108,0,0,residential,low,55.3
TRF094282,,0,,high,16.7
TRF032319,17,,,high,19.1
TRF031177,4,5,industrial,low,49.6
TRF010655,1,0,industrial,low,57.1
TRF017008,21,6,,medium,41.4
TRF046236,8,1,industrial,high,24.9
TRF042354,11,2,commercial,high,17.9
TRF086827,7,5,commercial,high,25.6
TRF080959,13,4,commercial,low,49.5
TRF025620,16,3,,medium,53.4
TRF073673,14,,industrial,low,65.5
TRF052907,6,4,industrial,high,15.6
TRF017932,17,3,industrial,medium,33.5
TRF084667,1,3,commercial,low,50.5
TRF082335,3,0,,low,73.5
TRF025971,15,0,commercial,low,55.9
TRF009243,0,3,industrial,low,67.7
TRF055891,11,0,industrial,high,24.1
TRF032268,,5,,low,59.9
TRF067681,3,2,industrial,low,71.3
TRF033194,19,2,industrial,high,16.5
TRF023141,,2,residential,high,13.6
TRF013286,9,0,industrial,high,24.3
TRF018489,7,1,commercial,high,29.4
TRF093774,18,5,,medium,31.0
TRF039642,11,4,industrial,,75.9
TRF089961,11,0,,high,25.1
TRF087529,8,4,commercial,high,29.0
TRF089435,14,0,industrial,medium,44.1
TRF022641,3,6,,medium,46.1
TRF026052,5,4,commercial,medium,36.8
TRF045305,23,5,industrial,medium,34.2
TRF044983,14,5,commercial,medium,44.0
TRF078488,7,1,industrial,medium,43.8
TRF005687,16,1,,medium,42.3
TRF031003,20,5,,high,25.2
TRF083717,6,0,,medium,31.3
TRF085288,21,4,residential,low,51.9
TRF045734,17,2,industrial,high,27.3
TRF063972,6,2,,high,24.8
TRF001737,15,3,industrial,high,17.5
TRF014227,9,4,commercial,high,20.8
TRF082177,15,4,commercial,high,17.9
TRF028647,13,5,industrial,low,
TRF032733,12,1,industrial,low,57.2
TRF095470,2,0,residential,medium,34.1
TRF008211,1,4,residential,low,
TRF012678,17,6,,high,26.3
TRF029620,22,5,residential,high,25.2
TRF025662,1,1,industrial,low,69.4
TRF004753,,5,,high,16.9
TRF014371,0,2,,low,57.2
TRF025910,2,6,commercial,low,59.7
TRF047777,17,0,commercial,high,23.1
TRF022048,7,6,residential,high,17.1
TRF071518,19,1,commercial,medium,46.8
TRF011003,0,4,commercial,low,51.0
TRF092326,22,2,industrial,,63.8
TRF025602,18,5,industrial,high,23.1
TRF053186,16,6,residential,low,54.3
TRF077918,7,0,residential,high,29.0
TRF024140,7,5,residential,high,11.6
TRF012176,,2,commercial,low,74.6
TRF027549,19,4,residential,low,53.2
TRF078635,9,6,,high,27.5
TRF086661,21,3,industrial,medium,51.9
TRF042303,7,1,residential,high,27.8
TRF012849,23,5,industrial,low,49.4
TRF027893,,0,,high,19.0
TRF016639,10,4,,medium,49.8
TRF062431,20,0,residential,low,77.1
TRF036254,15,1,commercial,medium,33.1
TRF082190,8,1,,high,
TRF059643,21,4,,high,17.2
TRF062123,23,2,residential,low,51.4
TRF046683,7,4,,medium,35.6
TRF047191,18,5,industrial,high,11.1
TRF041242,14,3,residential,medium,44.2
TRF024828,12,6,,high,19.8
TRF007596,7,1,,low,77.1
TRF054027,2,0,residential,medium,34.2
TRF014471,12,1,industrial,high,17.9
TRF004013,11,0,industrial,medium,26.6
TRF021304,12,3,industrial,medium,25.6
TRF079231,18,0,,,77.1
TRF079650,8,0,,medium,32.0
TRF030195,16,3,,medium,46.5
TRF077892,,6,commercial,medium,39.9
TRF011251,19,2,residential,high,23.3
TRF023219,1,2,commercial,medium,31.5
TRF069041,15,6,industrial,medium,26.9
TRF034477,17,2,,,79.3
TRF069413,5,6,,,66.9
TRF045211,1,6,industrial,medium,53.0
TRF030797,23,5,residential,low,53.7
TRF058276,0,6,,low,58.6
TRF002581,7,6,residential,high,15.4
TRF053309,2,5,,low,50.3
TRF051825,,6,residential,medium,25.4
TRF016749,1,1,industrial,low,59.0
TRF063952,12,4,commercial,low,56.5
TRF031937,2,0,residential,medium,44.8
TRF048302,22,1,residential,medium,33.8
TRF027674,4,4,commercial,low,72.9
TRF069012,21,4,residential,low,63.6
TRF009116,23,0,industrial,medium,47.6
TRF067170,8,3,residential,high,17.2
TRF051792,14,0,residential,medium,40.8
TRF066242,14,6,residential,medium,33.0
TRF091420,15,6,residential,medium,28.0
TRF026872,20,4,industrial,medium,35.7
TRF042890,5,4,,low,76.7
TRF041256,22,1,,low,77.7
TRF049084,7,0,residential,high,29.3
TRF062674,7,1,industrial,high,10.3
TRF017887,5,0,commercial,low,77.1
TRF042792,14,2,,low,45.4
TRF095092,22,2,commercial,low,78.0
TRF079533,6,5,residential,low,50.4
TRF091024,1,1,commercial,low,55.2
TRF065652,20,4,commercial,medium,28.2
TRF014733,17,2,industrial,high,28.6
TRF092272,11,5,residential,medium,48.2
TRF009378,2,5,commercial,medium,51.0
TRF081410,9,0,commercial,high,21.6
TRF094409,21,4,,low,58.4
TRF076174,4,0,residential,high,28.6
TRF008668,0,1,residential,low,51.4
TRF023596,15,6,commercial,low,55.0
TRF091917,5,4,industrial,low,57.7
TRF084236,20,,,high,13.7
TRF005409,21,5,commercial,low,59.6
TRF078565,7,0,commercial,,59.3
TRF010771,14,3,industrial,low,62.3
TRF003624,9,6,residential,medium,38.8
TRF028059,17,5,industrial,medium,33.9
TRF008075,1,6,commercial,medium,49.3
TRF087268,12,1,industrial,high,24.3
TRF030335,1,4,residential,low,57.5
TRF071750,4,1,industrial,low,52.9
TRF090432,2,6,,low,65.3
TRF076968,20,5,residential,high,16.4
TRF063440,18,4,,high,15.3
TRF056842,1,2,industrial,low,68.7
TRF082732,16,6,commercial,high,28.5
TRF085171,,1,industrial,high,19.7
TRF078182,4,1,commercial,low,59.7
TRF053313,8,2,,high,26.2
TRF093803,14,1,residential,high,10.8
TRF084531,11,5,residential,high,17.0
TRF052824,11,,,low,71.5
TRF048203,16,6,industrial,medium,52.6
TRF023862,6,0,commercial,high,25.6
TRF026144,16,6,commercial,high,
TRF013948,4,1,,low,71.5
TRF049236,2,5,commercial,low,64.8
TRF091150,10,5,industrial,medium,50.5
TRF002865,13,1,industrial,medium,50.3
TRF038077,17,2,industrial,high,15.7
TRF094547,17,5,commercial,high,15.1
TRF058373,22,0,,medium,43.2
TRF044373,13,1,industrial,medium,50.5
TRF073751,16,6,industrial,low,76.8
TRF095698,11,1,,medium,54.1
TRF052555,21,4,industrial,low,58.3
TRF077315,11,4,commercial,,61.8
TRF020481,22,3,commercial,low,64.3
TRF072199,13,2,industrial,low,69.4
TRF081274,0,5,industrial,low,56.7
TRF064355,9,6,industrial,,77.8
TRF012201,2,0,industrial,low,51.5
TRF087640,11,3,residential,high,11.2
TRF029966,12,4,,medium,
TRF091235,20,0,commercial,high,23.2
TRF088309,17,1,,low,45.4
TRF051301,4,1,,low,68.2
TRF043054,10,1,residential,medium,28.8
TRF052284,19,2,,high,23.1
TRF062332,18,1,residential,high,29.2
TRF011084,7,5,,high,11.8
TRF014206,0,2,industrial,low,52.6
TRF074770,3,4,commercial,medium,29.1
TRF073689,3,6,residential,low,55.3
TRF015760,18,4,industrial,medium,40.6
TRF064989,9,2,industrial,high,10.1
TRF012549,21,3,,low,53.1
TRF061630,5,6,,low,58.2
TRF072813,1,0,,low,45.1
TRF074565,10,1,commercial,medium,27.3
TRF095774,21,5,,low,61.1
TRF012776,6,6,industrial,low,65.8
TRF070132,9,1,,high,16.1
TRF082203,23,1,industrial,low,70.3
TRF090426,22,6,commercial,low,65.7
TRF009100,5,3,commercial,medium,52.7
TRF048722,18,4,,high,11.6
TRF040784,7,1,,high,27.4
TRF060162,4,3,,high,29.6
TRF044718,8,1,residential,medium,33.2
TRF062838,1,4,residential,low,74.3
TRF064195,1,5,residential,low,69.0
TRF071650,0,0,,low,63.4
TRF095210,16,0,commercial,medium,52.1
TRF095072,22,4,,low,59.1
TRF024559,7,3,commercial,high,22.9
TRF011806,23,3,commercial,low,73.5
TRF001742,0,6,residential,low,62.1
TRF019414,1,6,residential,medium,44.4
TRF056205,23,2,,low,71.0
TRF008977,14,1,industrial,low,69.9
TRF074707,2,5,residential,low,68.0
TRF044460,10,0,industrial,low,58.7
TRF093552,23,5,industrial,low,65.1
TRF007268,7,2,industrial,high,12.8
TRF003628,2,1,,low,66.4
TRF044346,16,4,industrial,,
TRF017085,8,4,commercial,high,13.8
TRF027678,1,5,industrial,low,61.8
TRF064121,18,3,,high,17.8
TRF006413,19,5,commercial,high,10.3
TRF041153,9,2,,medium,31.3
TRF048512,12,0,commercial,medium,53.9
TRF015257,10,2,industrial,,48.9
TRF086916,2,6,residential,medium,36.6
TRF038444,3,0,commercial,low,68.9
TRF081876,21,5,industrial,low,73.9
TRF081146,14,1,commercial,low,78.1
TRF087471,23,4,residential,low,52.2
TRF038003,4,1,commercial,low,67.0
TRF010043,16,5,residential,high,12.5
TRF083060,6,5,commercial,low,52.5
TRF010111,10,5,industrial,medium,43.4
TRF069372,19,0,,medium,31.1
TRF014793,0,1,commercial,low,63.8
TRF049086,11,2,,medium,42.3
TRF048724,0,5,industrial,low,49.4
TRF031050,23,1,residential,low,78.9
TRF003952,12,6,industrial,high,18.6
TRF069206,4,4,,low,76.0
TRF007718,20,1,commercial,high,11.0
TRF012578,20,2,industrial,medium,50.5
TRF068723,8,4,industrial,medium,25.9
TRF073035,3,6,,medium,44.0
TRF044617,2,0,commercial,low,76.0
TRF021082,19,0,,medium,38.5
TRF019637,3,0,residential,low,64.2
TRF075487,15,6,,high,18.8
TRF024546,18,5,residential,medium,49.1
TRF080231,2,5,commercial,low,79.5
TRF069189,15,0,,medium,40.8
TRF021901,7,5,industrial,medium,37.8
TRF019274,18,4,residential,high,12.8
TRF035189,4,1,industrial,low,47.9
TRF035220,,4,residential,medium,29.7
TRF013683,22,3,commercial,low,63.9
TRF089323,11,4,,medium,38.1
TRF089691,8,1,industrial,medium,49.3
TRF093308,4,2,residential,low,75.1
TRF091518,14,3,industrial,medium,45.6
TRF015725,11,2,,low,52.6
TRF052078,0,4,commercial,low,53.9
TRF006639,1,0,industrial,medium,27.5
TRF069132,17,4,commercial,high,10.5
TRF046994,2,2,industrial,low,47.3
TRF000026,17,1,commercial,high,24.7
TRF065106,2,5,industrial,low,65.0
TRF018253,2,5,commercial,low,73.5
TRF009413,5,1,residential,medium,45.1
TRF078808,20,0,industrial,medium,35.1
TRF021607,3,4,commercial,low,62.7
TRF052950,8,6,,high,10.8
TRF069715,16,6,industrial,medium,48.7
TRF068035,12,3,commercial,high,17.9
TRF082301,1,0,commercial,low,56.3
TRF002549,10,0,,medium,53.0
TRF062731,13,3,commercial,high,29.8
TRF025212,5,5,residential,low,72.2
TRF031629,8,2,industrial,high,21.9
TRF056552,3,3,,low,49.9
TRF077196,22,5,commercial,high,15.8
TRF062663,7,5,,high,11.8
TRF024076,10,0,,medium,25.7
TRF053150,19,5,,,51.3
TRF069235,12,5,,medium,51.1
TRF051817,11,3,commercial,high,12.1
TRF071729,6,5,industrial,high,26.0
TRF068690,21,4,commercial,low,58.4
TRF040976,11,0,commercial,medium,33.6
TRF045149,7,1,industrial,medium,35.8
TRF039569,8,5,residential,high,10.2
TRF004238,11,6,,low,70.7
TRF003184,6,0,residential,medium,40.9
TRF041302,5,0,residential,low,46.0
TRF009776,9,0,industrial,high,12.7
TRF039599,15,1,industrial,medium,44.9
TRF015478,14,0,,medium,44.3
TRF082056,12,3,commercial,medium,31.0
TRF084503,4,1,,low,46.3
TRF068661,19,5,commercial,high,11.0
TRF073353,0,2,industrial,low,62.6
TRF062568,2,0,residential,low,70.8
TRF072011,10,6,,low,63.4
TRF065050,18,1,commercial,high,23.0
TRF004354,21,4,commercial,,76.3
TRF090684,1,5,industrial,low,69.4
TRF012751,14,1,commercial,medium,45.7
TRF067545,11,6,residential,medium,27.0
TRF055821,16,2,,low,
TRF012305,15,5,,medium,50.5
TRF068818,12,2,commercial,medium,48.5
TRF014721,13,6,commercial,high,10.1
TRF001295,16,3,residential,high,11.7
TRF026333,18,3,residential,high,11.4
TRF084050,3,6,,low,53.5
TRF045032,8,6,commercial,high,28.7
TRF000727,3,1,industrial,low,77.3
TRF076040,5,2,industrial,high,10.0
TRF067346,0,0,industrial,low,60.4
TRF044749,,5,,high,12.4
TRF081263,3,5,industrial,low,71.1
TRF053237,16,6,industrial,medium,43.0
TRF056232,11,1,commercial,medium,54.9
TRF037815,16,3,commercial,,76.1
TRF031454,23,5,residential,medium,36.3
TRF047526,23,1,industrial,medium,49.7
TRF061414,15,3,industrial,medium,48.5
TRF046618,10,1,residential,low,79.2
TRF031496,1,2,commercial,low,63.2
TRF042402,23,2,commercial,low,64.0
TRF039953,18,4,commercial,medium,40.9
TRF017914,14,6,residential,medium,35.0
TRF032300,9,3,industrial,medium,38.4
TRF006275,11,1,,low,
TRF051273,10,3,commercial,low,74.3
TRF040191,9,4,industrial,high,20.7
TRF044076,16,6,residential,high,16.8
TRF057319,5,5,,low,65.3
TRF047677,10,0,commercial,high,12.2
TRF050661,22,1,commercial,low,76.5
TRF090448,12,0,commercial,low,63.1
TRF056706,4,1,residential,low,47.5
TRF065893,11,3,commercial,medium,31.7
TRF073166,3,0,commercial,low,46.2
TRF038521,22,6,industrial,low,60.3
TRF078193,8,0,commercial,high,28.8
TRF011887,13,2,,medium,49.9
TRF000219,8,2,industrial,low,53.7
TRF003870,3,6,residential,low,
TRF088917,1,0,commercial,medium,40.9
TRF076056,12,2,industrial,medium,48.3
TRF064557,1,3,residential,medium,48.6
TRF014522,23,0,industrial,,49.1
TRF071130,17,4,commercial,high,11.1
TRF091299,15,5,,medium,26.5
TRF086345,3,3,industrial,low,59.8
TRF058883,16,1,,low,71.5
TRF086435,14,2,,medium,25.5
TRF045851,13,,residential,medium,26.2
TRF049263,5,2,,low,61.5
TRF060122,0,4,industrial,low,45.1
TRF061729,17,3,residential,high,21.8
TRF071779,9,5,,high,22.5
TRF095170,8,1,,low,64.5
TRF039184,3,1,residential,low,71.1
TRF017239,21,1,commercial,medium,47.0
TRF008476,10,2,industrial,high,24.0
TRF037575,9,2,,medium,29.0
TRF036678,0,1,industrial,low,57.5
TRF027523,3,0,industrial,medium,41.6
TRF031665,23,0,residential,low,66.1
TRF000679,,2,commercial,medium,28.2
TRF090652,15,1,residential,medium,37.3
TRF020249,20,0,,high,12.2
TRF009029,13,0,commercial,medium,45.5
TRF047296,11,4,,high,29.6
TRF032678,5,3,residential,,
TRF056068,1,4,commercial,low,75.3
TRF028044,13,6,commercial,high,22.7
TRF001749,14,4,industrial,low,
TRF041292,21,0,residential,low,65.6
TRF016426,11,4,industrial,low,54.5
TRF062157,19,1,residential,medium,31.6
TRF002943,10,4,commercial,medium,43.3
TRF034940,3,1,industrial,medium,41.1
TRF025145,10,4,residential,medium,45.3
TRF049963,17,4,industrial,high,29.3
TRF043995,4,3,,medium,51.5
TRF059904,,3,commercial,high,23.2
TRF070586,19,1,residential,low,55.2
TRF081933,11,2,commercial,high,22.9
TRF067496,12,5,industrial,medium,51.0
TRF070998,10,0,commercial,,58.4
TRF086369,16,6,residential,medium,46.4
TRF070213,3,4,,medium,
TRF010017,6,3,commercial,high,21.1
TRF036440,8,5,,high,21.5
TRF004541,7,0,commercial,medium,38.0
TRF038757,,6,industrial,medium,51.4
TRF085602,,6,industrial,high,28.0
TRF072767,18,3,residential,high,21.2
TRF005218,15,5,,high,18.3
TRF009859,7,1,,high,15.7
TRF053208,0,2,residential,low,64.9
TRF012351,10,6,,medium,51.0
TRF030910,22,2,residential,medium,34.2
TRF015286,4,0,industrial,medium,
TRF081285,12,6,commercial,low,45.2
TRF043328,15,5,commercial,high,
TRF063161,20,3,residential,medium,46.5
TRF042759,0,3,residential,low,76.1
TRF034467,21,6,commercial,low,76.3
TRF054468,23,2,commercial,medium,44.0
TRF082731,7,4,residential,medium,49.1
